"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WHEUXNHN","manuscript","1967","Hale, Kenneth","Warlpiri wordlist","","","","","","","1967","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0082","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7YXMY4H","manuscript","","Breen, Gavan","Warluwarra wordlist","","","","","","","n.d.","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0253","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYV86P8E","manuscript","1987","Thieberger, Nicholas; Taylor, Desmond","Warnman wordlist","","","","","","","1987","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0053","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNAS98QA","manuscript","1991","Wangka Maya, Pilbara Aboriginal Language Centre; Eidwun, Pijuka; Miller, Minyawu; Taylor, Desmond; Taylor, Muuki; Taylor, Waka; Thieberger, Nicholas; Marsh, James; Florey, Margaret","Warnman wordlist","","","","","","","1991","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0334","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YP6ZDH3P","manuscript","1967","O'Grady, Geoffrey N.","Wirangu wordlist","","","","","","","1967","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0080","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E95XP6NU","manuscript","","Hercus, Luise","Yarluyandi vocabulary","","","","","","","n.d.","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0251","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QPQM4RDT","manuscript","1988","McKelson, Kevin R.","Yulparija","","","","","","","1988","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0032","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RBV5UED","manuscript","1967","O'Grady, Geoffrey N.","Yulparija wordlist","","","","","","","1967","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0087","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E286VQK6","journalArticle","","Amery, Rob; Hudson, Joyce","n.d","Walmatjari Billiluna wordlist. ASEDA 0","","","","","","","2023-02-12 15:46:31","2023-02-12 15:46:50","","","","","142","","","","","","","","","","","","","","","","","Citation Key: ASEDA0142","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDQISRVP","journalArticle","","Anderson, Bruce; Thieberger, Nicholas; Centre, Wangka Maya Language","n.d","Yindjibarndi dictionary","","","","","","","2023-02-12 15:46:32","2023-02-12 15:46:49","","","","clairebowern","297","","","","","","","","","","","","","","","","","Citation Key: ASEDA0297 tex.unidentified: ASEDA 0","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YTDN4I7","book","","","Anonymous. 1886<span class=""nocase"">a</span>. <span class=""nocase"">From Mount Freeling to Pirigundi Lake : the Dieyerie tribe</span>","","","","","","","","2023-02-12 15:46:32","2023-02-12 15:46:32","","","","","","","","","","","","","In cur86. 4 volumes","","","","","","","","","Citation Key: curr55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NM4AP7TU","book","2003","Ash, A.; Lissarrague, A.; Giacon, J.","Gamilaraay, Yuwaalaraay & Yuwaalayaay dictionary","","","","","","","2003","2023-02-12 15:46:32","2023-02-12 15:46:32","","","","","","","","","","","","","IAD Press","Alice Springs","","","","","","","","Citation Key: ash03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VUJETQCC","book","1981","Austin, Peter","A grammar of Diyari, South Australia","","","","","","","1981","2023-02-12 15:46:32","2023-02-12 15:46:32","","","","","32","","","","","","","","Cambridge University Press","Cambridge","","","","","","","","Citation Key: aus81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TFMT328Y","journalArticle","1990","Austin, Peter","Classification of Lake Eyre languages","La Trobe University Working Papers in Linguistics","","","","","","1990","2023-02-12 15:46:32","2023-02-12 15:46:50","","171-201","","clairebowern","3","","","","","","","","","","","","","","","","","Citation Key: aus90","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFFEKCEI","book","2002","Austin, Peter","","","","","","http://linguistlist.org/emeld/workshop/2003/Malyangapa.pdf","","2002","2023-02-12 15:46:32","2023-02-12 15:46:32","","","","","","","","","","","","","Developing interactive knowledgebases for Australian Aboriginal Languages – Malyangapa.","","","","","","","","","Citation Key: aus02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKNSVJ8P","journalArticle","","Austin, Peter","n.d.<span class=""nocase"">a</span>","A dictionary of Jiwarli. La Trobe University, Department of Linguistics; ASEDA 0","","","","","","","2023-02-12 15:46:32","2023-02-12 15:46:49","","","","clairebowern","435","","","","","","","","","","","","","","","","","Citation Key: ASEDA0435","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LRUCBXKH","journalArticle","","Austin, Peter","n.d.<span class=""nocase"">b</span>","A dictionary of Thalanyji. ASEDA 0","","","","","","","2023-02-12 15:46:32","2023-02-12 15:46:48","","","","clairebowern","437","","","","","","","","","","","","","","","","","Citation Key: ASEDA0437","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDUVUBYM","journalArticle","","Austin, Peter","n.d.<span class=""nocase"">c</span>","A dictionary of Tharrgari. A dictionary of Warriyangka; ASEDA 0","","","","","","","2023-02-12 15:46:32","2023-02-12 15:46:49","","","","clairebowern","438","","","","","","","","","","","","","","","","","Citation Key: ASEDA0438","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNFE8T57","book","","Austin, Peter","n.d.<span class=""nocase"">d</span>. A dictionary of warriyangka","","","","","","","","2023-02-12 15:46:32","2023-02-12 15:46:32","","","","","","","","","","","","","La Trobe University","Department of Linguistics","","","","","","","","Citation Key: ASEDA0439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTYQYQGW","journalArticle","","Austin, Peter","n.d.<span class=""nocase"">e</span>","Payungu – English dictionary","","","","","","","2023-02-12 15:46:32","2023-02-12 15:46:50","","","","clairebowern","394","","","","","","","","","","","","","","","","","Citation Key: ASEDA0394 tex.unidentified: ASEDA 0","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZUBWT4G6","journalArticle","1975","Bannister, Daniel","Papers on the aboriginal languages of queensland","Ms. (New York, N.Y. : 1990)","","","","","","1975","2023-02-12 15:46:32","2023-02-12 15:46:50","","","","clairebowern","2171","","MS","","","","","","","","","","","","","","","Citation Key: ban75 tex.unidentified: AIATSIS","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236WWPEV","book","2005","Baymarrwaa, Laurie; Gularrbanga, Rita; Milinditj, Laurie; Nyabal, Rayba; Nyuunyuu, Margaret; Warrawun, Allison; Bowern, Claire","A learner's guide to Yan-nhaŋu","","","","","","","2005","2023-02-12 15:46:32","2023-02-16 16:01:30","","","","","","","","","","","","","Milingimbi Literature Production Centre","Milingimbi","","","","","","","","Citation Key: bow06lg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CEI3WM7S","thesis","2003","Bell, J. P.","A sketch grammar of the <span class=""nocase"">Badjala language of Gari (Fraser Island)</span>","","","","","","","2003","2023-02-12 15:46:32","2023-02-12 15:46:32","","","","","","","","","","","","","Masters thesis, University of Melbourne","","","","","","","","","Citation Key: bell2003sketch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3GBG8CV7","journalArticle","1927","Bennett, M. M.","Notes on the <span class=""nocase"">Dalleburra tribe of northern Queensland</span>","The Journal of the Royal Anthropological Institute of Great Britain and Ireland","","","10.2307/2843711","","","1927","2023-02-12 15:46:32","2023-02-12 15:46:50","","399-415","","clairebowern","57","","","","","","","","","","","","","","","","","Citation Key: ben27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGWQMAUC","journalArticle","","Black, Paul","n.d","Kurtjar dictionary","","","","","","","2023-02-12 15:46:32","2023-02-12 15:46:49","","","","clairebowern","26","","","","","","","","","","","","","","","","","Citation Key: ASEDA0026 tex.unidentified: ASEDA 00","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7Q2STEIM","book","2004","Blackman, David; Moore, David","Alyawarr picture dictionary","","","","","","","2004","2023-02-12 15:46:32","2023-02-12 15:46:32","","","","","","","","","","","","","IAD Press","Alice Springs","","","","","","","","Citation Key: moo04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJ6D5I4B","journalArticle","1979","Blake, Barry","A Kalkatungu grammar","vol. B","","","","","","1979","2023-02-12 15:46:32","2023-02-12 15:46:50","","","","clairebowern","57","","","","","","","","","","","","","","","","","Citation Key: bla79k tex.unidentified: Canberra: Pacific Linguistics","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SLG9FLD","book","1998","Blake, Barry","Wathawurrung and the colac language of southern victoria","","","","","","","1998","2023-02-12 15:46:32","2023-02-12 15:46:32","","","","","","","","","","","","","Pacific Linguistics","Canberra","","","","","","","","Citation Key: bla98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJX7VCIH","book","2003","Blake, Barry","The <span class=""nocase"">Bunganditj (Buwandik) Language of the Mount Gambier Region</span>","","","","","","","2003","2023-02-12 15:46:32","2023-02-12 15:46:32","","","","","","","","","","","","","Pacific Linguistics","Canberra","","","","","","","","Citation Key: bla03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"829QY6FX","journalArticle","","Blake, Barry","n.d","Woiwurrung, the Melbourne language","","","","","","","2023-02-12 15:46:32","2023-02-12 15:46:51","","","","clairebowern","175","","","","","","","","","","","","","","","","","Citation Key: ASEDA0175 tex.unidentified: ASEDA 0","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HV7PTJHP","journalArticle","1994","Blake, Barry; Reid, Julie","Sound change in kulin","La Trobe Working Papers in Linguistics","","","","","","1994","2023-02-12 15:46:32","2023-02-12 15:46:52","","1-14","","clairebowern","7","","","","","","","","","","","","","","","","","Citation Key: blarei94","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4CAZCV3E","journalArticle","1971","Blake, Barry J.; Breen, Gavan","The Pitta-Pitta dialects","Linguistic Communications (","","","","","","1971","2023-02-12 15:46:32","2023-02-12 15:46:51","","","","clairebowern","4","","","","","","","","","","","","","","","","","Citation Key: blabre71 tex.unidentified: Melbourne: Monash University","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P2NSJL2I","journalArticle","1999","Blake, B. J.; Reid, J.","Pallanganmiddang: a language of the Upper Murray","Aboriginal History","","","","","","1999","2023-02-12 15:46:33","2023-02-12 15:46:51","","15-31","","clairebowern","23","","","","","","","","","","","","","","","","","Citation Key: bla99","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JTLIHF3U","book","2001","Blevins, Juliette","Nhanda","","","","","","","2001","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","University of Hawai'i Press","Honolulu","","","","","","","","Citation Key: ble01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANZFJ7JE","book","1988","Blyth, Noel","Wangka Western Desert base dictionary. Wangka western desert base dictionary","","0-7316-1738-X","","","","","1988","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","1988. Part (1) Wangka","42 pages. Part (2) Grammar. Part (3) English, 30 pages","","","","","","","","Citation Key: ASEDA0048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YFV3UFN","journalArticle","2010","Bouckaert, R. R.","Densitree: making sense of sets of phylogenetic trees","Bioinformatics (Oxford, England)","","","","","","2010","2023-02-12 15:46:33","2023-02-12 15:46:52","","1372-1373","","clairebowern","26","","Bioinformatics","","","","","","","","","","","","","","","Citation Key: bou10","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8NXX86UE","book","1999","Bowe, H. J.; Morey, Stephen","The <span class=""nocase"">Yorta Yorta (Bangerang) language of the Murray Goulburn: including Yabula Yabula</span>","","","","","","","1999","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","Pacific Linguistics","Canberra","","","","","","","","Citation Key: bowmor99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WI3ZML3K","book","","Bowern, Claire","2012<span class=""nocase"">b</span>","","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","The Pama-Nyungan comparative lexical database. MS","Yale University","","","","","","","","Citation Key: bowpnd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWB5PWY6","book","","Bowern, Claire","in preparation","","","","","http://pantheon.yale.edu/{$var$}clb3/research/nhirrpi.html","","","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","Nhirrpi sketch grammar","","","","","","","","","Citation Key: bownhi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EZLGZQX","journalArticle","","Bradley, John","n.d","Yanyuwa dictionary","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:50","","","","clairebowern","382","","","","","","","","","","","","","","","","","Citation Key: ASEDA0382 tex.unidentified: ASEDA 0","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DE637FMK","journalArticle","1982","von Brandenstein, C. G.","88 grammar text sheets : exemplifying grammatical, lexical, and phraseological diversities as well as links of 25 <span class=""nocase"">Aboriginal languages from Western Australia</span>","AIATSIS MS","","","","","","1982","2023-02-12 15:46:33","2023-02-12 15:46:51","","","","clairebowern","4040","","","","","","","","","","","","","","","","","Citation Key: ms4040","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVY65XP5","book","1981","Breen, Gavan","1981<span class=""nocase"">a</span>. Wakaya wordlist","","","","","","","1981","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","Menning","Kathy and David NashSourcebook for Central Australian Languages. Alice Springs IAD","","","","","","","","Citation Key: ASEDA0139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKW4B67Q","journalArticle","1990","Breen, Gavan","Salvage studies of Western Queensland Aboriginal languages","vol. B-","","","","","","1990","2023-02-12 15:46:33","2023-02-12 15:46:51","","","","clairebowern","105","","","","","","","","","","","","","","","","","Citation Key: bre90 tex.unidentified: Canberra: Pacific Linguistics","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAHLQ363","book","2004","Breen, Gavan","Innamincka talk: A grammar of the innamincka dialect of yandruwandha with notes on other dialects","","","","","","","2004","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","Pacific Linguistics","Canberra","","","","","","","","Citation Key: bre04i","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UFQ992M","journalArticle","2009","Breen, Gavan","The Biri dialects and their neighbours","Transactions of the Royal Society of South Australia","","","10.1080/03721426.2009.10887121","","","2009","2023-02-12 15:46:33","2023-02-12 15:46:52","","219-256","","clairebowern","133","","","","","","","","","","","","","","","","","Citation Key: breen2009biri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FDZ2GTZQ","journalArticle","","Breen, Gavan","n.d.<span class=""nocase"">a</span>","Antekerrepenhe wordlist. ASEDA 00","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:51","","","","clairebowern","12","","","","","","","","","","","","","","","","","Citation Key: ASEDA0112","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ESH8IZU","journalArticle","","Breen, Gavan","n.d.<span class=""nocase"">b</span>","Bularnu grammar and vocabulary machine-readable files","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:51","","","","clairebowern","7","","","","","","","","","","","","","","","","","Citation Key: ASEDA0007 tex.unidentified: ASEDA 000","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6WJV8MT","journalArticle","","Breen, Gavan","n.d.<span class=""nocase"">c</span>","Mithaka fieldnotes. MS","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:51","","","","clairebowern","1968","","","","","","","","","","","","","","","","","Citation Key: brendm tex.unidentified: ?","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SM533H2","journalArticle","","Breen, Gavan","n.d.<span class=""nocase"">d</span>","Mudburra graded wordlist. ASEDA 0","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:52","","","","clairebowern","269","","","","","","","","","","","","","","","","","Citation Key: ASEDA0269","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5D2M4HP","book","","Breen, Gavan","n.d.<span class=""nocase"">e</span>","","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","Wangkumara. Typescript","","","","","","","","","Citation Key: breWa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MSZ4SH6T","journalArticle","","Breen, Gavan","n.d.<span class=""nocase"">f</span>","Warluwarra wordlist. ASEDA 0","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:52","","","","clairebowern","253","","","","","","","","","","","","","","","","","Citation Key: ASEDA0253","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHIGCDB2","journalArticle","","Breen, Gavan","n.d.<span class=""nocase"">g</span>","Yalarnnga vocab","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:52","","","","clairebowern","204","","","","","","","","","","","","","","","","","Citation Key: ASEDA0204 tex.unidentified: ASEDA 0","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQ3DMJ3N","journalArticle","2007","Breen, Gavan; Blake, Barry J.","The grammar of <span class=""nocase"">Yalarnnga: A language of western Queensland</span>","(Pacific Linguistics","","","","","","2007","2023-02-12 15:46:33","2023-02-12 15:46:52","","","","clairebowern","584","","","","","","","","","","","","","","","","","Citation Key: breengrammar2007 tex.unidentified: Canberra: Pacific Linguistics","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQWFNYG8","book","1973","Breen, J. G.","Bidyara and Gungabula: grammar and vocabulary","","","","","","","1973","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","Monash University Melbourne","","","","","","","","","Citation Key: bre73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SR2KA2J4","journalArticle","","Breen, J. G. 1981b","Margany and Gunya","Handbook of Australian Languages","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:53","","274-393","","clairebowern","2","","","","","","","","","","","","","","","","","Citation Key: bre81","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YP2VHFZJ","manuscript","1995","Breen, J. G.","Yandruwandha dictionary","","","","","","","1995","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","","","","","","","","","","Citation Key: bre95y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HVEIBYB","journalArticle","","Brown, Alexander; Geytenbeek, Brian","n.d","Ngarla – English dictionary (interim), English–Ngarla wordlist. ASEDA 00","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:52","","","","clairebowern","60","","","","","","","","","","","","","","","","","Citation Key: ASEDA0060","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PIXRM8DV","journalArticle","","Burbidge, Andrew; Fuller, Phillip","n.d","Mammal names","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:53","","","","clairebowern","279","","","","","","","","","","","","","","","","","Citation Key: ASEDA0279 tex.unidentified: ASEDA 0","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFW5EVQA","book","","Christie, Michael","n.d","","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","Temporary Gupapuyngu dictionary","","","","","","","","","Citation Key: chrnd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SE58JDNC","book","1978","Crowley, Terry","The Middle Clarence dialects of Bandjalang","","","","","","","1978","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","Australian Institute of Aboriginal Studies","Canberra","","","","","","","","Citation Key: Crowley1978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EP3JAB9R","bookSection","1981","Crowley, Terry","The Mpakwithi dialect of Anguthimri: Historical phonology","Handbook of Australian languages","","","","","","1981","2023-02-12 15:46:33","2023-02-12 15:46:33","","157-162","","","","","","","","","","","ANU Press","vol. 2,. Canberra","","","","","","","","Citation Key: cro81","","","","","","Dixon, R. M. W.@; Blake, Barry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRY9CM3K","journalArticle","","","1886<span class=""nocase"">a</span>","The Australian race","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","clairebowern","4","","","","","","","","","","","","","","","","","Citation Key: cur86 tex.unidentified: Melbourne: Government Printers. volumes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIFHWUYR","bookSection","","Curr, E. M. 1886b","Geographe bay, vasse","The Australian race","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","Government Printer","Sydney","","","","","","","","Citation Key: curr24a","","","","","","Curr, E. M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P4RRGN3A","bookSection","","Dawes, W. 1790","Vocabulary of the language of NS Wales","the neighbourhood of <span class=""nocase"">Sydney (Native and English)</span> by—-Dawes. <span class=""nocase""><i>Manuscript in Library of School of Oriental and African Studies, . Marsden Collection, MS</i></span> 41645.. <span class=""nocase"">www.williamdawes.org</span>","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:33","","795-817","","","","","","","","","","","","","","","","","","","","Citation Key: dawes1790vocabulary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP3YVLF8","book","1994","Dench, Alan","Martuthunira: a language of the <span class=""nocase"">Pilbara region of Western Australia</span>","","","","","","","1994","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","","","","","","","","","Pacific Linguistics","Canberra","","","","","","","","Citation Key: den94m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TX7ULCEL","journalArticle","","Dench, Alan","n.d","Kurrama texts and vocabulary","","","","","","","2023-02-12 15:46:33","2023-02-12 15:46:53","","","","clairebowern","481","","","","","","","","","","","","","","","","","Citation Key: ASEDA0481 tex.unidentified: ASEDA 0","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WTYCQTQN","book","1972","Dixon, R. M. W.","The Dyirbal language of North Queensland","","","","","","","1972","2023-02-12 15:46:33","2023-02-12 15:46:33","","","","","9","","","","","","","","Cambridge University Press","Cambridge Studies in Linguistics. London","","","","","","","","Citation Key: dix72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
